url_path,views_total,views_unique
/vishal2376/git-coach,40,35
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,9,4
/vishal2376/git-coach/releases/tag/v5.1,6,5
/vishal2376/git-coach/releases,3,3
/vishal2376/git-coach/blob/master/README.md,3,1
/vishal2376/git-coach/blob/master/screenshots/cmdB.jpg,2,1
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,2,1
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,2,1
/vishal2376/git-coach/blob/master/screenshots/nav.jpg,2,1
/vishal2376/git-coach/tree/master/app,2,1
