url_path,views_total,views_unique
/vishal2376/git-coach,36,31
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,4,4
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,3,3
/vishal2376/git-coach/releases/tag/v5.2,3,3
/vishal2376/git-coach/blob/master/screenshots/nav.jpg,2,2
/vishal2376/git-coach/pull/40,2,2
/vishal2376/git-coach/tree/master/app,2,2
/vishal2376/git-coach/blob/master/app/src/main/assets/en/git_quiz.json,1,1
/vishal2376/git-coach/blob/master/LICENSE,1,1
/vishal2376/git-coach/blob/master/screenshots/font_settings.jpg,1,1
