url_path,views_total,views_unique
/vishal2376/git-coach,35,26
/vishal2376/git-coach/releases/tag/v5.2,9,7
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,4,4
/vishal2376/git-coach/issues,4,2
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,3,3
/vishal2376/git-coach/releases,3,2
/vishal2376/git-coach/blob/master/screenshots/quiz.jpg,2,2
/vishal2376/git-coach/commit/8b61f3776f6f058f89064a8c8d293c8b60763968,2,2
/vishal2376/git-coach/pulls,2,2
/vishal2376/git-coach/blob/master/gradle.properties,1,1
