time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-29 00:00:00+00:00,8,7,4,3
2026-01-30 00:00:00+00:00,12,6,3,3
2026-01-31 00:00:00+00:00,17,8,3,3
2026-02-01 00:00:00+00:00,12,7,3,2
2026-02-02 00:00:00+00:00,14,9,0,0
2026-02-03 00:00:00+00:00,23,10,1,1
2026-02-04 00:00:00+00:00,6,5,5,4
2026-02-05 00:00:00+00:00,14,8,10,2
2026-02-06 00:00:00+00:00,1,1,6,3
2026-02-07 00:00:00+00:00,6,5,5,4
2026-02-08 00:00:00+00:00,8,4,3,3
2026-02-09 00:00:00+00:00,7,6,8,6
2026-02-10 00:00:00+00:00,3,3,2,1
2026-02-11 00:00:00+00:00,16,10,8,5
