time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,8,3,1,1
2026-08-07 00:00:00+00:00,10,5,6,2
2026-08-08 00:00:00+00:00,3,3,1,1
2026-08-09 00:00:00+00:00,14,5,1,1
2026-08-10 00:00:00+00:00,12,6,2,2
2026-08-11 00:00:00+00:00,18,8,1,1
2026-08-12 00:00:00+00:00,9,4,2,1
2026-08-13 00:00:00+00:00,10,5,1,1
2026-08-14 00:00:00+00:00,4,4,13,4
2026-08-15 00:00:00+00:00,18,8,2,1
2026-08-16 00:00:00+00:00,18,8,2,2
2026-08-17 00:00:00+00:00,13,6,1,1
2026-08-18 00:00:00+00:00,1,1,1,1
2026-08-19 00:00:00+00:00,3,2,1,1
