time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,1,1,1.0,1.0
2025-08-16 00:00:00+00:00,3,3,2.0,2.0
2025-08-17 00:00:00+00:00,5,5,1.0,1.0
2025-08-18 00:00:00+00:00,5,5,6.0,4.0
2025-08-19 00:00:00+00:00,2,2,1.0,1.0
2025-08-20 00:00:00+00:00,1,1,,
2025-08-21 00:00:00+00:00,1,1,,
2025-08-22 00:00:00+00:00,1,1,8.0,5.0
2025-08-23 00:00:00+00:00,3,3,1.0,1.0
2025-08-24 00:00:00+00:00,1,1,2.0,2.0
2025-08-25 00:00:00+00:00,5,5,8.0,1.0
2025-08-26 00:00:00+00:00,24,24,9.0,3.0
2025-08-27 00:00:00+00:00,1,1,2.0,2.0
2025-08-28 00:00:00+00:00,1,1,9.0,4.0
