time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,17,4,15.0,3.0
2025-10-25 00:00:00+00:00,4,3,1.0,1.0
2025-10-26 00:00:00+00:00,10,4,1.0,1.0
2025-10-27 00:00:00+00:00,1,1,1.0,1.0
2025-10-28 00:00:00+00:00,10,4,8.0,5.0
2025-10-29 00:00:00+00:00,15,5,4.0,4.0
2025-10-30 00:00:00+00:00,6,5,2.0,2.0
2025-10-31 00:00:00+00:00,5,5,9.0,4.0
2025-11-01 00:00:00+00:00,7,2,2.0,2.0
2025-11-02 00:00:00+00:00,5,5,7.0,2.0
2025-11-03 00:00:00+00:00,10,6,1.0,1.0
2025-11-04 00:00:00+00:00,12,4,,
2025-11-05 00:00:00+00:00,7,4,1.0,1.0
2025-11-06 00:00:00+00:00,7,4,,
