url_path,views_total,views_unique
/vishal2376/git-coach,72,36
/vishal2376/git-coach/pulls,7,4
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,4,3
/vishal2376/git-coach/pull/40,4,2
/vishal2376/git-coach/tree/master/app,4,1
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,3,3
/vishal2376/git-coach/blob/master/screenshots/quiz.jpg,3,1
/vishal2376/git-coach/tree/master/app/src/main,3,1
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,2,2
/vishal2376/git-coach/blob/master/screenshots/font_settings.jpg,2,2
