url_path,views_total,views_unique
/vishal2376/git-coach,33,30
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,5,5
/vishal2376/git-coach/releases/tag/v5.2,3,3
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,2,2
/vishal2376/git-coach/pull/40,2,2
/vishal2376/git-coach/tree/master/app,2,2
/vishal2376/git-coach/blob/master/app/src/main/assets/en/git_quiz.json,1,1
/vishal2376/git-coach/blob/master/LICENSE,1,1
/vishal2376/git-coach/blob/master/screenshots/cmdY.jpg,1,1
/vishal2376/git-coach/blob/master/screenshots/nav.jpg,1,1
