url_path,views_total,views_unique
/vishal2376/git-coach,126,105
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,49,23
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach,22,5
/vishal2376/git-coach/tree/master/app,19,7
/vishal2376/git-coach/tree/master/app/src,18,6
/vishal2376/git-coach/tree/master/app/src/main,17,6
/vishal2376/git-coach/releases/tag/v5.1,13,11
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,10,5
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach/fragments,9,2
/vishal2376/git-coach/blob/master/screenshots/cmdB.jpg,8,4
