time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-06 00:00:00+00:00,1.0,1.0,3.0,3.0
2025-06-07 00:00:00+00:00,5.0,3.0,8.0,2.0
2025-06-08 00:00:00+00:00,4.0,2.0,2.0,2.0
2025-06-09 00:00:00+00:00,5.0,2.0,4.0,2.0
2025-06-10 00:00:00+00:00,7.0,3.0,10.0,2.0
2025-06-11 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-06-12 00:00:00+00:00,4.0,4.0,,
2025-06-13 00:00:00+00:00,6.0,6.0,2.0,2.0
2025-06-14 00:00:00+00:00,1.0,1.0,4.0,4.0
2025-06-15 00:00:00+00:00,5.0,5.0,11.0,5.0
2025-06-16 00:00:00+00:00,9.0,9.0,4.0,3.0
2025-06-17 00:00:00+00:00,2.0,2.0,27.0,3.0
2025-06-18 00:00:00+00:00,5.0,5.0,4.0,3.0
2025-06-19 00:00:00+00:00,,,4.0,3.0
