url_path,views_total,views_unique
/vishal2376/git-coach,29,25
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,2,2
/vishal2376/git-coach/pull/40,2,2
/vishal2376/git-coach/releases/tag/v5.2,2,2
/vishal2376/git-coach/tree/master/app,2,2
/vishal2376/git-coach/blob/master/app/src/main/assets/en/git_quiz.json,1,1
/vishal2376/git-coach/blob/master/LICENSE,1,1
/vishal2376/git-coach/blob/master/screenshots/cmdY.jpg,1,1
/vishal2376/git-coach/pull/40/files,1,1
/vishal2376/git-coach/pulls,1,1
